# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
535,1714865696.321221,1712000,2.267580986022949,4841.14013671875,-3.2029314041137695,6493.369140625
536,1714865696.932241,1715200,2.267580986022949,4841.14013671875,-3.23176908493042,6288.34228515625
537,1714865696.9874969,1718400,2.240044116973877,4829.64013671875,-3.23176908493042,6288.34228515625
538,1714865697.593194,1721600,2.222092866897583,4797.36572265625,-3.23176908493042,6288.34228515625
539,1714865697.756439,1724800,2.222092866897583,4797.36572265625,-3.2135725021362305,6306.19482421875
540,1714865698.2810152,1728000,2.196319580078125,4713.36865234375,-3.2135725021362305,6306.19482421875
541,1714865698.532212,1731200,2.196319580078125,4713.36865234375,-3.2142410278320312,6063.36328125
542,1714865698.913358,1734400,2.2247800827026367,4718.77197265625,-3.2142410278320312,6063.36328125
543,1714865699.2123368,1737600,2.2247800827026367,4718.77197265625,-3.248883008956909,6295.54541015625
544,1714865699.58574,1740800,2.211036443710327,4740.71630859375,-3.248883008956909,6295.54541015625
545,1714865700.025141,1744000,2.211036443710327,4740.71630859375,-3.2457780838012695,6431.66748046875
546,1714865700.219489,1747200,2.176389455795288,4756.26318359375,-3.2457780838012695,6431.66748046875
547,1714865700.816606,1750400,2.176389455795288,4756.26318359375,-3.2439117431640625,6217.38330078125
548,1714865700.856273,1753600,2.182974338531494,4997.73876953125,-3.2439117431640625,6217.38330078125
549,1714865701.512665,1756800,2.1686851978302,4590.796875,-3.2439117431640625,6217.38330078125
550,1714865701.525384,1760000,2.1686851978302,4590.796875,-3.265767812728882,6493.56640625
551,1714865702.128642,1763200,2.1724371910095215,4874.0302734375,-3.265767812728882,6493.56640625
552,1714865702.244171,1766400,2.1724371910095215,4874.0302734375,-3.232470750808716,5956.0400390625
553,1714865702.741198,1769600,2.17092227935791,4433.2158203125,-3.232470750808716,5956.0400390625
554,1714865702.985197,1772800,2.17092227935791,4433.2158203125,-3.221255302429199,5979.57958984375
555,1714865703.482801,1776000,2.181570529937744,5394.87939453125,-3.221255302429199,5979.57958984375
556,1714865703.76526,1779200,2.181570529937744,5394.87939453125,-3.1953814029693604,7152.18310546875
557,1714865704.05986,1782400,2.1807286739349365,5090.787109375,-3.1953814029693604,7152.18310546875
558,1714865704.523381,1785600,2.1807286739349365,5090.787109375,-3.2323498725891113,6913.62548828125
559,1714865704.6780019,1788800,2.190385341644287,5396.56298828125,-3.2323498725891113,6913.62548828125
560,1714865705.262076,1792000,2.1731081008911133,4547.36767578125,-3.2323498725891113,6913.62548828125
561,1714865705.292834,1795200,2.1731081008911133,4547.36767578125,-3.238424062728882,6429.85107421875
562,1714865705.9331388,1798400,2.1799116134643555,4807.828125,-3.238424062728882,6429.85107421875
563,1714865706.0290098,1801600,2.1799116134643555,4807.828125,-3.2330737113952637,6095.435546875
564,1714865706.569063,1804800,2.1618711948394775,4265.134765625,-3.2330737113952637,6095.435546875
